item_name,item_brand,item_price,item_description,item_id,item_materials
Icebreaker   Hike+ Liner Crew Socks - Women's,Icebreaker,14.73,Pair these ultralight Icebreaker liners with heavier socks. Or wear them alone in hot conditions. The stretchy merino wool blend is breathable and odor-resistant.,#C05915,59% merino wool/38% nylon/3% elastane
REI Co-op   650 Down Vest - Women's,REI Co-op,49.83,Layer up for chilly walks through crisp air and crunchy leaves in the REI Co-op women's 650 Down vest. This everyday vest boasts warmth and recycled materials.,#221540,recycled ripstop nylon (bluesign approved)
REI Co-op   Merino Wool Liner Crew Socks,REI Co-op,15.95,"Wear 'em under your hiking socks to reduce friction on multiday trips, or wear 'em alone for summer day hikes. The REI Co-op Merino Wool liner socks put a layer of comfort between you and the trail.",#165397,64% merino wool/34% nylon/2% spandex
Outdoor Research   Ferrosi Pants - Women's,Outdoor Research,99.0,"Updated with new fabric and improved stretch and recovery, the classic Outdoor Research Ferrosi women's pants are performance-ready for crag days and multiday epics.",#204093,90-denier stretch-woven ripstop 86% nylon (46% recycled)/14% spandex (bluesign®-approved)
Smartwool   Performance Hike Full Cushion Crew Socks - Men's,Smartwool,27.0,"Gear up to go far in the men's Smartwool Performance Hike Full Cushion Crew socks, packed with fan-favorite sock technologies and thoughtful updates to provide long-lasting comfort and warmth.",#189312,56% merino wool/31% recycled nylon/11% nylon/2% elastane
Darn Tough   Light Hiker Quarter Lightweight Hiking Socks - Men's,Darn Tough,22.0,"Sitting at a just-right height, the men's Darn Tough Light Hiker Quarter Lightweight hiking socks boast smooth cuffs, a comfy fit and lightweight functionality for quick day hikes and multiday treks.",#186359,52% nylon/44% merino wool/4% lycra spandex
The North Face   Never Stop Wearing Pants - Women's,The North Face,62.73,"As the name suggests, the women's Never Stop Wearing pants from The North Face will quickly become your go-to exploration pants thanks to the FlashDry™ fabrics and a 13% elastane construction.",#254024,75-denier x 40-denier 123 g/m2 87% recycled polyester/13% elastane with flashdry and non-pfc durable water repellent (dwr) finish
The North Face   Boreas Half-Zip Top - Women's,The North Face,62.93,Experience warmth and easy motion with this women's top from The North Face. Its grid-fleece panels allow breathability to boost comfort. They reduce bulk and add colorful contrast.,#248438,body: 100% polyester knit; side panels: 96% polyester/4% elastane
Patagonia   Capilene Cool Daily Graphic T-Shirt - Women's,Patagonia,37.93,"The women's Patagonia Capilene Cool Daily Graphic T-shirt offers versatile performance and comfort for whatever you've got planned, thanks to soft, quick-drying and stretchy construction.",#144064,solids: 3.7 oz. recycled polyester jersey; heathers and cross-dyes: 4.1 oz. polyester (50% recycled) jersey
Columbia   Silver Ridge Utility Shirt - Women's,Columbia,12.83,"Designed for treks, travel and casual wear, this women's Columbia Silver Ridge Utility shirt wicks away sweat and provides UPF 50 sun protection to keep you moving in the outdoors.",#217922,recycled polyester
REI Co-op   Activator Soft-Shell Hoodie - Men's,REI Co-op,99.93,"Need weather protection during high-exertion adventures? The men's REI Co-op Activator soft-shell hoodie breathes exceptionally well—ideal for hiking, backpacking, climbing or cross-country skiing.",#248973,63% nylon/26% polyester/11% spandex (bluesign approved)
KUHL   Freeflex Roll-Up Pants - Women's,KUHL,109.0,"Converting from pants to capris in a jiffy, the women's KUHL Freeflex Roll-Up pants feature plentiful stretch, sun protection and sweat-wicking performance.",#228735,152 g 50% polyester/50% new polyester
REI Co-op   Trailmade Shorts - Women's,REI Co-op,34.93,"Perfect for warm and sunny hikes, the women's REI Co-op Trailmade shorts breathe well and dry fast, thanks to water-repellent stretch nylon. 6 pockets keep all your essentials handy.",#242645,94% nylon/6% spandex (bluesign approved)
Marmot   AirExchange UPF 50 Quarter-Zip Top - Women's,Marmot,52.73,"This backpacking quarter zip wicks sweat and keeps the rays at bay for quick-dry, breathable comfort. UPF 50 helps block out the sun. This Marmot top has a pack- and harness-friendly side-zip pocket.",#C04774,100% recycled polyester mesh
Mountain Hardwear   Basswood Pull-On Pants - Women's,Mountain Hardwear,58.73,"From multiday backcountry trips to afternoons at the crag, the women's Mountain Hardwear Basswood Pull On pants are durable and stretchy with a just-right fit—not too tight or baggy.",#247177,90% nylon/10% elastane bistretch twill
KUHL   Free Radikl Pants - Men's,KUHL,109.0,"Combining the comfort of your favorite sweatpants with high-tech, trail-tough performance, the men's KUHL Free Radikl tapered pants are lightweight yet durable and ready for adventure.",#228167,"main body: 68% cotton/29% nylon/3% spandex (176 g); stretch panels: 87% nylon, 13% spandex (295 g)"
Free Country   Get Out There Pants - Women's,Free Country,49.73,"Great for hikes when there's a bit of a chill to the air, the women's Free Country Get Out There pants have a cozy fleece lining for added warmth and a water-resistant exterior to help keep you dry.",#245727,90% polyester/10% spandex
Vuori   Miles Ankle Pants - Women's,Vuori,108.0,"Stay comfy and ready for anything with the women's Vuori Miles Ankle pants. Great for yoga, hiking and chilling, they're made with eco-conscious recycled fabric that can stretch as far as you can.",#175148,79% recycled nylon/21% elastane
REI Co-op   Active Pursuits Long-Sleeve T-Shirt - Women's,REI Co-op,34.95,"Reach for the REI Co-op women's Active Pursuits long-sleeve T-shirt day after day as a wicking, drying, sun-protective layer for your next adventure out. It has a soft feel and plenty of stretch.",#222369,92% polyester/8% spandex (bluesign®-approved)
REI Co-op   COOLMAX EcoMade Lightweight Hiking Quarter Socks,REI Co-op,15.95,"Made for warm days on the trail, the rugged REI Co-op COOLMAX EcoMade Lightweight hiking quarter socks are breathable and moisture-wicking to keep feet drier.",#165385,77% coolmax ecomade polyester/22% nylon/1% spandex
REI Co-op   Trailmade Rain Pants - Women's,REI Co-op,69.95,"Waterproof, breathable and constructed to freely move with you, the lightweight REI Co-op Trailmade women's rain pants let you sneak out to recharge on the trail, even when rain clouds are gathering.",#234704,100% polyester (bluesign approved)
Outdoor Research   Aspire 3L Jacket - Women's,Outdoor Research,123.83,Perfect for wet weekend adventures—like hiking or cycling in the rain—the women's Outdoor Research Aspire 3L Jacket is engineered for dependable wet-weather protection and performance.,#235759,ascentshell dry 3l: 100% recycled 40-denier nylon with mechanical stretch (bluesign approved)
REI Co-op   Trailmade Joggers - Men's,REI Co-op,69.95,"These joggers take on any rocky adventure—with water repellency, nylon/spandex for stretch and room to stow essentials, the men's REI Co-op Trailmade joggers are ready for camp and beyond.",#236138,96% nylon/4% spandex (bluesign approved)
REI Co-op   Active Pursuits Long-Sleeve Quarter-Zip Pullover - Men's,REI Co-op,49.95,"Always ready for go-time, the quick-to-wick-and-dry men's REI Co-op Active Pursuits quarter-zip pullover offers sun protection in a soft, stretchy fabric for your outdoor workouts or light trail duty.",#234886,92% polyester/8% spandex (bluesign approved)
REI Co-op   Activator Pants - Men's,REI Co-op,99.95,What's your perfect pair of trail pants? Wind-resistant and water-repellent? Breathable and stretchy? Plenty of secure pockets? That's the men's REI Co-op Activator soft-shell pants!,#234906,63% nylon/26% polyester/11% spandex (bluesign approved)
Icebreaker   Multisport Light Mini Socks - Men's,Icebreaker,14.73,"Designed for runs, bike rides, hikes and more, the men's Icebreaker Multisport Light Mini socks offer durable, moisture-wicking performance no matter your passion.",#183303,60% wool/37% nylon/3% lycra spandex
REI Co-op   Trailmade Insulated Hoodie - Men's,REI Co-op,99.95,"Built to get you out hiking even when the temp drops, the men's REI Co-op Trailmade insulated hoodie has 80 g synthetic insulation for 3-season warmth—and it layers perfectly under your rain shell.",#236196,recycled polyester taffeta (bluesign approved)
Smartwool   Performance Hike Light Cushion Crew Socks - Women's,Smartwool,25.0,"Take care of your feet in the women's Smartwool Performance Hike Light Cushion Crew socks, packed with fan-favorite sock technologies and thoughtful updates to provide all-day comfort.",#189319,56% merino wool/31% recycled nylon/11% nylon/2% elastane
Smartwool   Performance Hike Targeted Cushion Mid Crew Socks - Men's,Smartwool,23.0,"With precise cushioning where you need it most and breathable mesh zones for all-day comfort, the men's Smartwool Performance Hike Targeted Cushion Mid Crew socks help ensure every mile feels good.",#243854,54% merino wool/43% nylon/3% elastane
REI Co-op   Trailmade Rain Pants - Men's,REI Co-op,69.95,"Waterproof, breathable and constructed to freely move with you, the lightweight REI Co-op Trailmade men's rain pants let you sneak out to recharge on the trail, even when rain clouds are gathering.",#235245,100% polyester (bluesign approved)
Smartwool   Performance Hike Targeted Cushion Mid Crew Socks - Women's,Smartwool,23.0,"With precise cushioning where you need it most and a women-specific fit for all-day comfort, these Smartwool Performance Hike Targeted Cushion Mid Crew socks help ensure every mile hiked feels good.",#243862,54% merino wool/43% nylon/3% elastane
Smartwool   Performance Hike Targeted Cushion Ankle Socks - Women's,Smartwool,21.0,"Support your feet through all types of terrain in the women's Smartwool Performance Hike Targeted Cushion ankle socks. Breathable, durable and comfortable, they'll keep your feet happy on the trails.",#237052,54% merino wool/37% recycled nylon/6% nylon/3% elastane
REI Co-op   Polartec Wind Pro Fleece Gloves 2.0,REI Co-op,44.95,"Durable weather protection on the outside and cozy fleece on the inside—that's what makes up the REI Co-op Wind Pro fleece gloves, ideal for skiing, snowshoeing and working hard in the snow.",#194828,90% polyester/10% spandex; synthetic suede
Arc'teryx   Atom Insulated Hoody - Women's,Arc'teryx,300.0,"Meet the solution to your ""which jacket should I wear?"" problem: the women's Arc'teryx Atom Insulated Hoody. Wear it solo for chilly hikes with windy summits or as a mid layer for winter touring.",#243332,"20-denier x 20-denier ripstop nylon with durable water repellent (dwr), 45 g/m2"
REI Co-op   Norseland Merino Wool Crew Socks - 2 Pairs,REI Co-op,32.95,"Who said socks aren't good gifts? They clearly haven't met the allover cushion, soft merino wool and fun prints of this 2-pack of REI Co-op Norseland merino wool crew socks.",#193984,38-40% merino wool/30-33% polyester/26-30% nylon/1-2% lycra spandex (varies slightly by colorway)
Marmot   Rocklin Full-Zip Fleece Jacket - Men's,Marmot,59.73,"Always ready for a road trip or visit to the local crag, this Marmot lightweight fleece is warm and easy to wear. Layer it under a shell on cold days or wear it on its own for casual days on the town.",#C04797,100% postconsumer recycled polyester fleece
REI Co-op   Trailmade Fleece Jacket - Men's,REI Co-op,59.95,"Camp-friendly and fit for movement, the REI Co-op Trailmade men's fleece jacket is great as a standalone on cold days or under a shell when it's coming down—and it's made with 100% recycled polyester!",#216851,recycled polyester fleece
KUHL   Renegade Recon Pants - Men's,KUHL,99.0,"Head outside in comfort in these stretchy, soft-shell hiking pants from KUHL. Their UPF 50+ fabric is also water-resistant and quick-drying. Plus, they feature tapered cuffs and tons of pockets.",#228168,170 g duralux (95% nylon/5% spandex)
Arc'teryx   Atom Insulated Hoody - Men's,Arc'teryx,300.0,"Meet the solution to your ""which jacket should I wear?"" problem: the men's Arc'teryx Atom Insulated Hoody. Wear it solo for chilly hikes with windy summits or as a mid layer for winter touring.",#243175,"20-denier x 20-denier ripstop nylon with durable water repellent (dwr), 45 g/m2"
The North Face   Aphrodite 2.0 Pants - Women's,The North Face,80.0,"With a little stretch and cinchable drawcords to keep your fit in check, the women's Aphrodite 2.0 pants from the The North Face are your next go-anywhere, do-anything hiking pants.",#236110,body: 90d x 70d 123 g/m2 56% nylon/37% recycled nylon/7% elastane herringbone woven with flashdry and non-pfc dwr finish; 2x2 rib knit waistband: 50d 257 g/m2 94% recycled polyester/6% elastane
REI Co-op   COOLMAX EcoMade Liner Crew Socks,REI Co-op,11.95,"Wear them under your hiking socks as a barrier against chafing, or wear them alone on hot day hikes. The REI Co-op COOLMAX EcoMade liner socks are moisture-wicking, breathable and durable.",#165110,50% coolmax ecomade polyester/49% nylon/1% spandex
Smartwool   Performance Hike Targeted Cushion Ankle Socks - Men's,Smartwool,21.0,"Support your feet through all types of terrain in the men's Smartwool Performance Hike Targeted Cushion ankle socks. Breathable, durable and comfortable, they'll keep your feet happy on the trails.",#237033,55% merino wool/36% recycled nylon/6% nylon/3% elastane
Darn Tough   Hiker Boot Full-Cushion Socks - Men's,Darn Tough,30.0,"From the Pacific Crest Trail to the Appalachian Trail, Darn Tough Hiker Boot full-cushion men's hiking socks absorb the rigors of the singletrack.",#114126,66% merino wool/32% nylon/2% lycra spandex
prAna   Stretch Zion Standard Pants - Men's,prAna,98.0,"From the office to the outdoors, the versatile men's prAna Stretch Zion Standard pants can take you through the day in Stretch Zion™ fabric, giving you the ideal mix of durability and comfort.",#243784,95% recycled nylon/5% elastane
Smartwool   Performance Hike Light Cushion Crew Socks - Men's,Smartwool,25.0,"Hike on and on ... and on, thanks to the all-day comfort and durability of the men's Smartwool Performance Hike Light Cushion crew socks. They're packed with fan-favorite tech to keep your feet happy.",#189299,56% merino wool/13% nylon/28% recycled nylon/3% elastane
Smartwool   Hike Classic Edition Full Cushion Second Cut Crew Socks,Smartwool,23.0,"An iconic pair, these Smartwool merino socks were reimagined to reduce waste and enhance durability and comfort. They're made to feel good on trail days.",#243856,39% merino wool/33% unknown fiber content mixed fibers/27% nylon/1% elastane
Injinji   Liner Crew Socks,Injinji,12.0,"Wear these light and breathable liner socks under thicker outer socks as a first line of defense against moisture and blisters, or wear them alone as your go-to socks for everyday adventures.",#881305,75% coolmax ecomade polyester / 21% nylon / 4% lycra spandex
REI Co-op Activator Pants - Women's,REI Co-op ,99.95,What's your perfect pair of trail pants? Wind-resistant and water-repellent? Breathable and stretchy? Plenty of secure pockets? That's the women's REI Co-op Activator soft-shell pants!,#234695,63% nylon/26% polyester/11% spandex (bluesign approved)
Cotopaxi   Tech 5-Panel Hat,Cotopaxi,35.0,"With side-panel air grommets and an adjustable, nylon strap with clip closure for easy adjustability, the Cotopaxi Tech 5-Panel hat keeps your head cool and comfortable on your warm-weather endeavors.",#218746,recycled nylon
REI Co-op   Active Pursuits T-Shirt - Women's,REI Co-op,29.95,"Part of the fun of hiking and trail running is the uphill battle. Get your mind open and body prepped for the work with the wicking, quick-drying REI Co-op Active Pursuits women's T-shirt.",#222368,92% polyester/8% spandex (bluesign approved)
Arc'teryx   Taema Hoody - Women's,Arc'teryx,44.83,"Shield yourself from the fierce summer sun in the women's Arc'teryx Taema Hoody. It's an airy, moisture-wicking layer for hikers, climbers and anyone seeking mountain adventure and freedom to move.",#203232,phasic lt polyester
